severity	check	path	line	message	suggestion	snippet
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	128	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Blodwen made a noise, and when Llinos looked up, her face had twisted into an irritated expression that made her already somewhat r...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	129	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Llinos froze.␠ The whole situation was impossible to explain.␠ Blodwen should understand about the attention, the way it went, how ...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	130	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ It wasn’t like Llinos could stop the fey doing what the fey wanted to do.␠ The best to hope for was keeping it from happening to th...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	131	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “Hey.␠ Hey.”␠ Blodwen waved a hand in front of Llinos’s face.
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	132	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Pryce winced quietly, and then laid a hand on their sister’s shoulder.␠ “We heard something,” he said.␠ “And mum too I think.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	133	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ It took Blodwen a moment, but she backed down slightly with a, “You’re not going to get into trouble with... whatever you’re doing.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	134	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “They like me,” Llinos said, finally freed of the impossibility of explanation.
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	135	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ It was for the best that Cynog had gone to get the jam, because Llinos was shooting when he was back, and practicing how to breathe...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	136	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Llinos had heard that people in Nefyn tended not to be the ones who were fey-touched, though.␠ The fey-touched stayed in the smalle...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	137	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ It was clear that someone had given Cynog an adequate explanation by the time Llinos got back, having - just barely - qualified for...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	138	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “What are you doing?” he did ask.
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	139	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “The fletching would be better but then they wouldn’t fly right.”␠ The rest, though, could have it glazed just faintly, just a litt...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	140	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “What’s going on here?”␠ That was a list official, who was frowning thunderously.
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	141	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Cynog rumbled, “She’s putting jam on her arrows,” with a sort of dry humor that was probably lost on anyone outside the family, but...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	142	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ The official was entirely unsure what to say to that, and eventually settled on, “What kind of jam?␠ No magic involved I assume?”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	143	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “Rowanberry,” Cynog said.␠ “Just bought it from,” he twisted and pointed, “lady there? Brown hair, a bit curly?␠ You’d have to ask ...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	144	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “Just the berries,” Llinos said.␠ “No magic.”␠ The phrase came out firm and fierce, but of course everyone knew rowanberries were p...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	145	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ The official drew a correct conclusion and asked, “Do you think someone’s cheating, girl?”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	146	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Llinos bristled, perhaps a bit more than the question entirely warranted.␠ “No.”␠ Someone was having fun, not cheating.␠ Cheating i...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	147	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “Just making sure, then?” he said with a laugh.
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	148	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “Yeah,” Llinos said, because it was easier than arguing, and Llinos was used to being thought of as a bit daft.␠ It was fine.␠ A go...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	149	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ The final round, Llinos was the youngest contestant, tucked in at the end next to a tall, lithe boy with long fingers.␠ The officia...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	150	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ The fairy music played, and Llinos saw, off to the left, an arrow flex and go askew.␠ And then, oddly, heard laughter, simultaneous...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	151	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “You keep practicing and you’ll give me a good challenge in a couple of years,” he said, and Llinos grinned at him before scamperin...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	152	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ They were working on escaping from Nefyn - by general consensus, sparing Pryce the trouble of more town - when a man appeared out o...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	153	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “I did my best.␠ Without help.”␠ The latter phrase came out with a bit of a growl to it, and the man laughed.
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	154	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “So you did, so you did.”␠ With a little wave of his fingers, the man vanished back into the crowd again, leaving Llinos with jaw s...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood II.md	155	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Pryce said, “Huh,” and reached for Llinos’s hand.
info	missing-h1	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	1	Note has no top-level H1 heading	Add a # heading if this note is meant to publish as a page.	
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	6	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	“Come on, Llinos!␠ Don’t be lagging!”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	7	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	Cynog was grumpy, but he was often grumpy, particularly with his youngest sibling - seven years younger and easily distracted, in this case...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	8	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	Said youngest sibling waited for the geese to pass to the far side of the sky before making certain of the grip on a bundle of flowers and ...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	9	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	The one called Llinos was more than a little uncertain of the web of trade and favor-trading that was involved there, but did know a few th...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	11	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	The dyer’s house was surrounded by strictly organized gardens.␠ The dye-weed was in bloom, its bright yellow flowers in their clusters spil...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	12	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	“Mistress Delyth?␠ It’s Cynog Bettws from Clawyn, we’ve the apple leaves for this season.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	13	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	Mistress Delyth opened the door.␠ She was an adult, but not old enough to have grey in her glossy hair, and she wore the blue that came of ...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	14	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	Cynog nudged Llinos, who bowed, careful not to drop the armful of flowers.␠ “You may call me Llinos.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	15	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	“A fine name.␠ Come in, let me get my book.␠ What are the shares?”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	16	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	Cynog swung the sack around and put it where she pointed.␠ When she had the book down he said, “Four share for Bettws, three for the Crowth...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	17	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	Delyth looked up.␠ “A half share?”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	18	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	“Nye Medwin, he passed on at midwinter, and we all agreed on a half-share’s worth for the widow, ma’am.␠ She could do with some new bright.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	23	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	Delyth laughed.␠ “Oh, it’s just that a half-share messes my maths.␠ But I’ve put you in for eight shares for Bettws, six for the Crowthers,...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	24	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	“Oh,” said Llinos.␠ “Okay.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	26	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	She shook her head and rubbed the bridge of her nose.␠ “Don’t you worry about it.␠ I’ll do it out by the weight of what you have.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	27	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	Cynog looked uncertain and anxious about it.␠ Llinos watched him for a moment and then asked, “Why does the plant in front of your house wi...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	28	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	That seemed to defuse the confusing situation.␠ Delyth chuckled and scooped up the sack and poured out the leaves into a basket for weighin...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	29	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	“Moving the signs every time you harvest,” Llinos said thoughtfully.␠ “Okay.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	32	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	“Queen’s lace?␠ You’re certain you have that and not hemlock.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	33	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	Llinos sighed the sigh of someone who did not understand why all the adults kept asking that question.␠ “The stems are sort of fuzzy, the f...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	35	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	“The green lady.␠ But she told me not to take all of it, just half.␠ But this is half.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	36	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	“The ... green lady.”␠ Delyth paused in her scooping up the weighed leaves to look at Cynog.
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	37	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	He cleared his throat.␠ “We suspect some sort of forest nymph, ma’am, but don’t you worry, she’s got the knack of making them like her, she...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	38	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	The dyer considered a moment and then accepted the bundle of flowers.␠ “An uncanny one, then.␠ All right.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	39	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	“She’ll be apprenticing to mind the standing stones and such when she’s a little older, ayup.␠ Keeps her out of trouble.”␠ He ruffled Llino...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	41	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	“Yes,” said Cynog, and Llinos did not appear to object.␠ “Come on, we’ve got errands.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	42	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	Llinos laughed, sulk forgotten.␠ “You just want to go see Ffraid.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	44	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	“He thinks Mama doesn’t know,” the child added to Delyth.␠ “But she lets him do most of the errands to Nefyn.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	45	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	The dyer laughed, her tension defused somewhat by a more normal sort of uncanny perceptiveness.␠ “I don’t think your brother wanted you to ...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	50	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Depending on how one counted, there were between one and two dozen people in Clawyn of about Llinos’s age.␠ All of Llinos’s sibling...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	51	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Where Pryce was a little bit fey - just a touch peculiar, maybe - Llinos was entirely so, occasionally verging into the feral.␠ If ...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	52	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Not all of Llinos’s antics were so benign.␠ The petty theft was, for the most part, petty rearrangements, at least when people mana...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	53	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “She asked me to,” was all the child would say in explanation, and that was not deemed enough.
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	54	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ But the next day the milk went sour.␠ All of it.␠ In the entire village.
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	55	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ This, too, provoked uproar, and after some discussion the temple steward and Llinos’s cousin Ilean - about Pryce’s age and learning...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	56	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Ilean came to visit and said, “She’s going to need to start learning the ways soon,” with no preamble.␠ She was a fierce young woma...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	57	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ The fey did not object to Ilean, but it was true, they didn’t like her the way they liked Llinos.
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	58	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “She can come out with me when I do the rounds.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	62	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ After Llinos was actually learning to walk the boundaries and tend the stones, rather than being driven by impulse, things got a li...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	63	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Which was not, of course, to say that there weren’t other incidents.␠ When Llinos was about eleven, all the children of reasonable ...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	64	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ The chore was half picnic, with a basket of supplies and several of the children, who knew things about foraging, inclined to take ...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	65	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ It was, as things turned out, fortunate that Llinos was more inclined to forage than do the assigned task, though nobody was quite ...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	66	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “What’d you do that for?” Llew demanded.
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	67	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “He was going to pick that mushroom.”␠ Llinos pointed.
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	68	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “And?”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	69	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “That’s a fey mushroom.␠ They’d get mad.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	70	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ The boys put their heads together to talk quietly, half in gestures that made sense in the sort of secret language of twins.␠ Llino...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	71	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “How do you know?” Ellis asked.
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	72	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Llinos sighed.␠ “Look.”␠ Here was the cluster, the seven of them together; that was a sign.␠ Look at the way the moss grows thicker...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	73	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “You could have started with that!” Ellis objected, but he was laughing.
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	74	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “Oh,” said Llinos.␠ “Okay.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	75	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ The twins shook their heads, and Llew helped Ellis up, and they went back to the nettles, perhaps on the principle that doing that ...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	76	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Ellis went back later and left a bit of bread and some berries he had gathered at the spot, though, just in case a gift might ease ...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	80	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ By the time Llinos was thirteen, the sharp edges had started to grow again, and prowling around being feral and unpredictable occup...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	81	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Pryce even seemed to understand the pain, well enough; when Llinos was overcome by it, he offered a shoulder to lean on, draped an ...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	82	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “I’m going to go collect some berries and things,” Llinos said, and he just nodded and leaned on his stick, staring off down the sl...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	83	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ The expedition into the copse took longer than Llinos had expected; there was some sort of plant that did not belong there that had...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	84	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Unfortunately, that was not to be the case.␠ There were two men in the pasture, tall and looming over Pryce, who was built like Mam...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	85	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “Look me in the eye and talk to me, boy,” boomed the one of them.␠ The accent was not local, and not familiar either, but of course...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	86	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ None of which was terribly relevant, really, for all the thoughts flitted through Llinos’s mind: the important thing was that they ...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	87	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “Leave him alone!”␠ Llinos marched down the slope, trying not to smash the berries with the impulse to make a fist.␠ “You’re upsett...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	88	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ One of the men turned away from Pryce, at least.␠ “What’s your name, girl?”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	89	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Llinos’s eyes widened slightly, not at the demand so much as its reckless rudeness.␠ “You can call me—”␠ It took a moment to figure...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	90	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ The two of them traded looks and one muttered, “Did you get all that?” to get a shrug from the other.␠ “All right, uh, Lulu—”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	91	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Llinos proceeded to ignore him.␠ Llinos had not given permission to be called ‘Lulu’.␠ Llinos was busy checking in with Pryce, in s...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	92	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ They were well in the midst of sorting that out when one of the men grabbed Llinos by the shoulder.␠ “Stop ignoring me, child.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	93	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Pryce’s eyes went wide, and he got very pale as the other one demanded, “Stop being ridiculous, we are here to talk about the goats...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	94	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “He doesn’t talk to strangers,” Llinos said, trying to wrench free of the grip and failing.␠ “Leave him alone, you’re upsetting him...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	95	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ After tugging a few more times, Llinos added, “Goat thieves.”
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	96	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ For some reason, that made the man let go, affronted.␠ “We are not thieves,” the one declared.␠ “We are here for proper trade and p...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	97	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ Llinos frowned.␠ “Then why are you bothering my brother instead of talking to people who work with the wool?”␠ Not that the wool wa...
info	nonbreaking-space	Campaigns/Cleenseau Campaign/Celyn's Stories/Celyn's Childhood.md	98	Line contains a non-breaking space	Replace with an ordinary space if the spacing is not intentional.	␠ ␠ ␠ ␠ “Take me to who I should talk to, then.”
